Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os07g0102100	Os07t0102100-01,Os07t0102100-02	.	.	40	61	5	92	13.211576	8.729969	1.039457	5.845177
Os07g0102150	Os07t0102150-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0102200	Os03t0102200-01	.	.	0	11	0	14	0.0	7.205443	0.0	3.872208
Os05g0102200	Os05t0102200-01	.	.	3	3	4	38	0.890389	0.385622	1.39538	3.091708
Os12g0102200	Os12t0102200-01	.	.	2	27	0	52	1.900565	11.065313	0.0	9.01395
Os07g0102200	Os07t0102200-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0102200	Os06t0102200-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os10g0102200	Os10t0102200-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0102200	Os02t0102200-01	.	.	62	36	37	57	35.413551	8.979543	16.400656	5.947462
Os11g0102200	Os11t0102200-00	.	.	166	724	61	743	51.768303	98.059517	14.763968	42.447136
Os08g0102250	Os08t0102250-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0102250	Os02t0102250-00	.	.	0	0	0	3	0.0	0.0	0.0	0.400348
Os01g0102300	Os01t0102300-01	.	.	7	17	14	64	6.459197	7.459826	11.793032	12.568721
Os02g0102300	Os02t0102300-01	.	.	0	14	0	8	0.0	6.861176	0.0	1.767429
Os12g0102300	Os12t0102300-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0102300	Os07t0102300-01	.	.	5	12	10	53	2.432278	2.901053	4.189481	5.404243
Os03g0102300	Os03t0102300-00	.	.	0	0	8	0	0.0	0.0	4.396678	0.0
Os09g0102300	Os09t0102300-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0102300	Os06t0102300-01,Os06t0102300-02,Os06t0102300-03,Os06t0102300-04	.	.	34	44	21	94	25.160065	13.022346	8.960362	12.364567
Os05g0102300	Os05t0102300-01	.	.	0	9	10	46	0.0	1.737048	3.928483	4.142453
Os11g0102301	Os11t0102301-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0102333	Os03t0102333-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os12g0102350	Os12t0102350-01	.	.	4	51	7	26	4.401316	24.12216	5.173199	5.171293
Os03g0102366	Os03t0102366-00	.	.	0	0	2	0	0.0	0.0	1.014349	0.0
Os10g0102400	Os10t0102400-01	.	.	7	55	13	46	4.217807	16.446362	7.084484	5.804715
Os08g0102400	Os08t0102400-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0102400	Os01t0102400-01	.	.	0	0	0	4	0.0	0.0	0.0	0.501486
Os03g0102400	Os03t0102400-01	.	.	29	51	39	76	14.450997	11.16311	15.596374	7.036606
Os05g0102400	Os05t0102400-00	.	.	6	2	4	6	7.137677	0.520366	3.747286	1.239862
Os12g0102400	Os12t0102400-01	.	.	61	192	86	532	15.582761	21.203012	17.197929	24.922192
Os02g0102400	Os02t0102400-01,Os02t0102400-02,Os02t0102400-03	.	.	34	68	44	86	30.755501	13.138538	17.285847	6.958029
Os07g0102400	Os07t0102400-01	.	.	0	22	0	38	0.0	8.216413	0.0	6.029346
Os12g0102500	Os12t0102500-01,Os12t0102500-02	.	.	22	39	50	166	6.941407	5.205465	12.276077	9.542364
Os04g0102500	Os04t0102500-01	.	.	84	53	54	193	55.725483	15.142323	28.228333	23.618883
Os03g0102500	Os03t0102500-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0102500	Os05t0102500-01,Os05t0102500-02	.	.	10	18	8	31	10.765751	7.431924	5.241379	5.093149
Os07g0102500	Os07t0102500-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0102500	Os11t0102500-01	.	.	8	8	2	4	17.505247	8.251613	1.959546	1.604937
Os01g0102500	Os01t0102500-01	.	.	36	53	22	230	20.944855	13.487588	10.180773	24.828148
Os04g0102600	Os04t0102600-01	.	.	27	76	66	113	27.248018	33.17466	51.770687	20.844147
Os05g0102600	Os05t0102600-01	.	.	0	10	0	10	0.0	1.646845	0.0	0.695287
Os06g0102600	Os06t0102600-01	.	.	0	11	0	14	0.0	5.112586	0.0	2.783842
Os02g0102600	Os02t0102600-01	.	.	24	95	38	158	19.771828	33.846954	24.676682	23.821108
Os03g0102600	Os03t0102600-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0102600	Os01t0102600-01,Os01t0102600-02	.	.	13	19	16	27	11.159927	7.385522	15.345773	5.973017
Os11g0102600	Os11t0102600-01	.	.	5	32	0	65	3.878908	11.196965	0.0	9.886585
Os12g0102600	Os12t0102600-01	.	.	6	24	0	21	2.31215	4.623503	0.0	1.642783
Os12g0102700	Os12t0102700-01	.	.	0	0	0	12	0.0	0.0	0.0	0.696879
Os11g0102700	Os11t0102700-01	.	.	3	42	8	33	3.226271	19.246006	6.199154	6.485245
Os03g0102700	Os03t0102700-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0102700	Os01t0102700-01	.	.	3	52	26	112	3.327459	24.955061	22.23654	23.001623
Os04g0102700	Os04t0102700-01	.	.	83	44	38	56	41.373997	9.342901	14.543982	5.074883
Os06g0102700	Os06t0102700-01	.	.	56	119	70	172	26.932894	24.813055	26.198013	15.141995
Os05g0102700	Os05t0102700-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0102700	Os02t0102700-01,Os02t0102700-02	.	.	19	32	8	69	20.371123	15.615641	7.076366	14.035564
