geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os02g48570	94	52	289	516	3.599654678	1.953652598	10.9585405	20.00817078	2.499918743	3.209927412	9.34E-09	1.91E-06		
LOC_Os01g47290	11	7	98	67	0.421236186	0.262991696	3.716044877	2.597960159	3.208813992	0.869128637	9.67E-09	1.95E-06		
LOC_Os08g24750	45	34	179	251	1.723238942	1.277388237	6.787469724	9.732656716	2.480542639	2.314005713	9.79E-09	1.95E-06		
LOC_Os07g03900	136	144	1007	393	5.208011024	5.410114886	38.18425705	15.23878123	2.346818397	4.006884781	9.82E-09	1.95E-06		
LOC_Os06g13880	1	2	38	31	0.038294199	0.075140485	1.44091536	1.202041268	4.449335918	-0.387485507	1.02E-08	2.01E-06		
LOC_Os07g33280	2	1	29	44	0.076588397	0.037570242	1.099645933	1.70612309	4.534980387	-0.312191316	1.05E-08	2.04E-06		
LOC_Os03g17790	632	391	1544	2140	24.20193358	14.68996473	58.54666622	82.979623	1.884196777	5.503504951	1.07E-08	2.07E-06		
LOC_Os04g32320	7	6	88	52	0.268059391	0.225421454	3.336856624	2.016327288	3.434374179	0.620876716	1.22E-08	2.33E-06		
LOC_Os10g34920	9	9	79	71	0.344647788	0.33813218	2.995587197	2.753062258	3.078222571	0.752714543	1.56E-08	2.93E-06		
LOC_Os09g37120	1	2	29	40	0.038294199	0.075140485	1.099645933	1.551020991	4.455470694	-0.383973201	1.58E-08	2.93E-06		
LOC_Os07g18750	31	65	2	3	1.18712016	2.442065747	0.075837651	0.116326574	-4.148862781	0.037317192	1.58E-08	2.93E-06		
LOC_Os12g43140	11	18	114	88	0.421236186	0.676264361	4.322746081	3.412246179	2.828455118	1.192445667	1.79E-08	3.29E-06		
LOC_Os07g37400	3	8	46	140	0.114882596	0.300561938	1.744265963	5.428573467	4.107918338	0.985280354	1.80E-08	3.29E-06		
LOC_Os09g30490	119	126	436	408	4.557009646	4.733850525	16.53260782	15.8204141	1.821469852	3.392654873	1.90E-08	3.44E-06		
LOC_Os04g52090	325	561	1258	2233	12.44561458	21.07690591	47.7018822	86.5857468	2.032632981	5.399065825	2.00E-08	3.59E-06		
LOC_Os06g20790	10	30	153	139	0.382941987	1.127107268	5.801580267	5.389797942	2.907203659	1.70279233	2.10E-08	3.73E-06		
LOC_Os04g10160	16	25	117	133	0.612707179	0.939256057	4.436502557	5.157144794	2.645112131	1.519541015	2.43E-08	4.29E-06		
LOC_Os01g46760	27	41	178	173	1.033943365	1.540379933	6.749550899	6.708165784	2.40596793	2.032055642	2.71E-08	4.68E-06		
